Date,ToplamTuketim
2018-01-01 00:00:00,27412.81
2018-01-01 01:00:00,26324.39
2018-01-01 02:00:00,24635.32
2018-01-01 03:00:00,23872.12
2018-01-01 04:00:00,23194.89
2018-01-01 05:00:00,23071.96
2018-01-01 06:00:00,23267.9
2018-01-01 07:00:00,23875.44
2018-01-01 08:00:00,24346.96
2018-01-01 09:00:00,25804.69
2018-01-01 10:00:00,27364.91
2018-01-01 11:00:00,28493.42
2018-01-01 12:00:00,28880.29
2018-01-01 13:00:00,29118.33
2018-01-01 14:00:00,29237.76
2018-01-01 15:00:00,29229.75
2018-01-01 16:00:00,29838.46
2018-01-01 17:00:00,31652.85
2018-01-01 18:00:00,33211.3
2018-01-01 19:00:00,33116.79
2018-01-01 20:00:00,32513.89
2018-01-01 21:00:00,31854.4
2018-01-01 22:00:00,31576.27
2018-01-01 23:00:00,30232.78
2018-02-01 00:00:00,28490.89
2018-02-01 01:00:00,26874.88
2018-02-01 02:00:00,25720.24
2018-02-01 03:00:00,25228.53
2018-02-01 04:00:00,25078.49
2018-02-01 05:00:00,25425.05
2018-02-01 06:00:00,26807.84
2018-02-01 07:00:00,30233.52
2018-02-01 08:00:00,35197.43
2018-02-01 09:00:00,38012.57
2018-02-01 10:00:00,38465.99
2018-02-01 11:00:00,38771.31
2018-02-01 12:00:00,37003.68
2018-02-01 13:00:00,37079.08
2018-02-01 14:00:00,37526.81
2018-02-01 15:00:00,37456.4
2018-02-01 16:00:00,38143.53
2018-02-01 17:00:00,39505.13
2018-02-01 18:00:00,39185.52
2018-02-01 19:00:00,38305.63
2018-02-01 20:00:00,36851.62
2018-02-01 21:00:00,36215.04
2018-02-01 22:00:00,35600.45
2018-02-01 23:00:00,34096.01
2018-03-01 00:00:00,31728.66
2018-03-01 01:00:00,30060.8
2018-03-01 02:00:00,28899.26
2018-03-01 03:00:00,28335.47
2018-03-01 04:00:00,28029.61
2018-03-01 05:00:00,28375.97
2018-03-01 06:00:00,29531.67
2018-03-01 07:00:00,32597.84
2018-03-01 08:00:00,36457.21
2018-03-01 09:00:00,38899.44
2018-03-01 10:00:00,39747.82
2018-03-01 11:00:00,39695.23
2018-03-01 12:00:00,38067.93
2018-03-01 13:00:00,38920.93
2018-03-01 14:00:00,39206.1
2018-03-01 15:00:00,39288.22
2018-03-01 16:00:00,39748.15
2018-03-01 17:00:00,40351.67
2018-03-01 18:00:00,39809.04
2018-03-01 19:00:00,38624.38
2018-03-01 20:00:00,37663.29
2018-03-01 21:00:00,36711.56
2018-03-01 22:00:00,36179.8
2018-03-01 23:00:00,34687.47
2018-04-01 00:00:00,32247.24
2018-04-01 01:00:00,30507.55
2018-04-01 02:00:00,29277.55
2018-04-01 03:00:00,28692.12
2018-04-01 04:00:00,28314.05
2018-04-01 05:00:00,28743.63
2018-04-01 06:00:00,30033.91
2018-04-01 07:00:00,33167.33
2018-04-01 08:00:00,36975.36
2018-04-01 09:00:00,39641.36
2018-04-01 10:00:00,40593.83
2018-04-01 11:00:00,40955.07
2018-04-01 12:00:00,39505.55
2018-04-01 13:00:00,39635.29
2018-04-01 14:00:00,39952.75
2018-04-01 15:00:00,39649.45
2018-04-01 16:00:00,40063.17
2018-04-01 17:00:00,40487.65
2018-04-01 18:00:00,39936.25
2018-04-01 19:00:00,38772.68
2018-04-01 20:00:00,38113.86
2018-04-01 21:00:00,36758.94
2018-04-01 22:00:00,36538.95
2018-04-01 23:00:00,34928.88
2018-05-01 00:00:00,32328.65
2018-05-01 01:00:00,30756.16
2018-05-01 02:00:00,29565.04
2018-05-01 03:00:00,28883.64
2018-05-01 04:00:00,28709.91
2018-05-01 05:00:00,28964.72
2018-05-01 06:00:00,30145.24
2018-05-01 07:00:00,32737.99
2018-05-01 08:00:00,36782.79
2018-05-01 09:00:00,39487.56
2018-05-01 10:00:00,40147.94
2018-05-01 11:00:00,40757.02
2018-05-01 12:00:00,38881.46
2018-05-01 13:00:00,37545.4
2018-05-01 14:00:00,38930.47
2018-05-01 15:00:00,38830.05
2018-05-01 16:00:00,39024.45
2018-05-01 17:00:00,39656.68
2018-05-01 18:00:00,39386.83
2018-05-01 19:00:00,38338.3
2018-05-01 20:00:00,37328.94
2018-05-01 21:00:00,36459.26
2018-05-01 22:00:00,36044.9
2018-05-01 23:00:00,34849.3
2018-06-01 00:00:00,32729.41
2018-06-01 01:00:00,31086.92
2018-06-01 02:00:00,29548.35
2018-06-01 03:00:00,28806.97
2018-06-01 04:00:00,28370.5
2018-06-01 05:00:00,28728.45
2018-06-01 06:00:00,29222.28
2018-06-01 07:00:00,31001.02
2018-06-01 08:00:00,33865.94
2018-06-01 09:00:00,36478.32
2018-06-01 10:00:00,37561.76
2018-06-01 11:00:00,37715.93
2018-06-01 12:00:00,36232.72
2018-06-01 13:00:00,35856.36
2018-06-01 14:00:00,35417.87
2018-06-01 15:00:00,34634.67
2018-06-01 16:00:00,34861.59
2018-06-01 17:00:00,36076.2
2018-06-01 18:00:00,37444.81
2018-06-01 19:00:00,36909.03
2018-06-01 20:00:00,36175.41
2018-06-01 21:00:00,35501.38
2018-06-01 22:00:00,35041.27
2018-06-01 23:00:00,33996.85
2018-07-01 00:00:00,31646.96
2018-07-01 01:00:00,29803.97
2018-07-01 02:00:00,28305.05
2018-07-01 03:00:00,27605.41
2018-07-01 04:00:00,26873.56
2018-07-01 05:00:00,26913.75
2018-07-01 06:00:00,27018.38
2018-07-01 07:00:00,27203.54
2018-07-01 08:00:00,27258.18
2018-07-01 09:00:00,28332.44
2018-07-01 10:00:00,29563.97
2018-07-01 11:00:00,29995.41
2018-07-01 12:00:00,29727.95
2018-07-01 13:00:00,29702.37
2018-07-01 14:00:00,29211.25
2018-07-01 15:00:00,29264.21
2018-07-01 16:00:00,29928.65
2018-07-01 17:00:00,32152.39
2018-07-01 18:00:00,34412.43
2018-07-01 19:00:00,34657.07
2018-07-01 20:00:00,34134.26
2018-07-01 21:00:00,33464.49
2018-07-01 22:00:00,33417.2
2018-07-01 23:00:00,32256.09
2018-08-01 00:00:00,30009.04
2018-08-01 01:00:00,28448.55
2018-08-01 02:00:00,27289.37
2018-08-01 03:00:00,26719.15
2018-08-01 04:00:00,26689.64
2018-08-01 05:00:00,27024.12
2018-08-01 06:00:00,28453.74
2018-08-01 07:00:00,32572.71
2018-08-01 08:00:00,36651.48
2018-08-01 09:00:00,39194.15
2018-08-01 10:00:00,39496.55
2018-08-01 11:00:00,39582.82
2018-08-01 12:00:00,37615.43
2018-08-01 13:00:00,37582.91
2018-08-01 14:00:00,37839.69
2018-08-01 15:00:00,37748.52
2018-08-01 16:00:00,38179.13
2018-08-01 17:00:00,39388.34
2018-08-01 18:00:00,39518.05
