Date,ToplamLisanssizUretim,Ruzgar,Biyogaz,KanalTipi,Biyokutle,Gunes,Diger
2020-01-12 00:00:00,64.65,29.51,17.14,1.22,14.86,0.65,1.28
2020-01-12 01:00:00,65.41,29.07,17.14,1.26,15.93,0.7,1.3
2020-01-12 02:00:00,67.32,29.88,18.36,1.25,15.53,0.96,1.35
2020-01-12 03:00:00,66.77,29.35,18.09,1.08,15.72,0.95,1.58
2020-01-12 04:00:00,65.12,28.21,17.57,1.01,15.46,1.29,1.58
2020-01-12 05:00:00,63.83,27.42,17.57,1.24,15.06,1.59,0.96
2020-01-12 06:00:00,64.73,27.86,17.59,0.89,15.05,2.41,0.94
2020-01-12 07:00:00,91.93,27.22,17.31,0.79,15.29,29.38,1.93
2020-01-12 08:00:00,269.62,25.33,17.48,0.77,15.14,209.25,1.64
2020-01-12 09:00:00,647.62,23.72,17.34,0.68,14.35,589.13,2.4
2020-01-12 10:00:00,1163.42,23.51,17.01,0.92,14.63,1103.76,3.6
2020-01-12 11:00:00,1705.44,22.41,16.0,1.12,15.77,1645.75,4.38
2020-01-12 12:00:00,1812.83,22.64,16.6,1.16,15.42,1752.01,5.0
2020-01-12 13:00:00,1687.52,21.5,16.64,1.61,14.27,1628.7,4.8
2020-01-12 14:00:00,1294.99,20.58,15.59,1.63,15.57,1237.73,3.89
2020-01-12 15:00:00,812.15,19.95,16.17,1.73,15.36,755.9,3.04
2020-01-12 16:00:00,316.9,20.1,16.25,1.63,15.38,261.78,1.77
2020-01-12 17:00:00,77.03,19.27,16.65,1.03,15.59,23.33,1.17
2020-01-12 18:00:00,56.66,19.7,16.52,0.97,15.7,3.13,0.65
2020-01-12 19:00:00,54.94,20.12,16.6,1.02,16.05,0.42,0.74
2020-01-12 20:00:00,53.6,19.33,15.65,1.3,14.94,1.6,0.78
2020-01-12 21:00:00,53.7,18.82,16.47,1.34,15.83,0.47,0.78
2020-01-12 22:00:00,51.29,16.91,16.4,1.32,15.95,0.52,0.19
2020-01-12 23:00:00,48.4,14.89,14.99,1.28,15.59,1.31,0.34
2020-02-12 00:00:00,45.83,13.15,15.14,1.27,15.01,1.09,0.19
2020-02-12 01:00:00,46.65,13.27,14.96,1.2,15.48,1.59,0.16
2020-02-12 02:00:00,47.7,13.02,15.22,1.34,15.81,2.2,0.11
2020-02-12 03:00:00,49.06,13.94,15.72,1.37,15.38,2.54,0.12
2020-02-12 04:00:00,48.25,13.67,15.85,1.34,13.69,3.54,0.15
2020-02-12 05:00:00,47.94,11.93,15.85,1.28,14.81,3.96,0.1
2020-02-12 06:00:00,49.66,10.76,15.88,1.26,14.89,6.46,0.42
2020-02-12 07:00:00,105.54,10.53,15.88,0.92,14.22,63.37,0.62
2020-02-12 08:00:00,499.48,9.39,15.63,0.87,14.19,458.5,0.9
2020-02-12 09:00:00,1417.8,7.27,15.34,0.63,11.55,1380.14,2.87
2020-02-12 10:00:00,2460.52,6.25,15.32,1.12,12.63,2421.18,4.02
2020-02-12 11:00:00,3159.95,5.05,16.74,1.14,13.46,3119.43,4.13
2020-02-12 12:00:00,3407.35,4.92,16.57,1.39,14.11,3365.17,5.2
2020-02-12 13:00:00,3097.14,5.26,16.95,1.87,15.19,3053.14,4.73
2020-02-12 14:00:00,2395.05,5.76,16.81,1.85,15.4,2351.09,4.14
2020-02-12 15:00:00,1421.3,5.64,16.97,1.37,14.01,1380.11,3.18
2020-02-12 16:00:00,516.04,6.79,17.12,1.78,13.72,475.28,1.36
2020-02-12 17:00:00,80.48,6.6,17.02,1.68,14.3,40.0,0.88
2020-02-12 18:00:00,43.27,7.26,16.08,2.13,14.85,2.59,0.37
2020-02-12 19:00:00,42.01,7.66,16.67,2.11,14.73,0.45,0.4
2020-02-12 20:00:00,42.52,7.51,17.08,2.1,14.9,0.5,0.42
2020-02-12 21:00:00,40.1,7.17,15.64,1.36,14.81,0.47,0.64
2020-02-12 22:00:00,41.74,7.46,17.43,1.42,14.79,0.5,0.15
2020-02-12 23:00:00,41.11,6.69,17.44,1.28,14.78,0.78,0.15
2020-03-12 00:00:00,39.49,5.17,17.42,1.27,14.2,1.22,0.22
2020-03-12 01:00:00,40.92,5.71,17.45,1.27,14.48,1.79,0.22
2020-03-12 02:00:00,40.43,4.8,17.3,1.17,14.72,2.36,0.08
2020-03-12 03:00:00,40.54,4.2,17.29,1.16,14.79,3.03,0.07
2020-03-12 04:00:00,41.17,4.05,17.44,1.23,14.79,3.57,0.09
2020-03-12 05:00:00,41.45,3.64,17.43,1.11,14.71,4.46,0.1
2020-03-12 06:00:00,44.68,3.4,17.29,1.25,14.8,7.63,0.32
2020-03-12 07:00:00,126.99,3.47,17.43,1.21,14.62,89.51,0.75
2020-03-12 08:00:00,638.89,3.5,17.44,1.2,14.31,601.4,1.03
2020-03-12 09:00:00,1826.19,3.09,17.41,1.01,14.0,1788.29,2.39
2020-03-12 10:00:00,2960.74,2.04,17.43,0.77,14.46,2921.94,4.11
2020-03-12 11:00:00,3658.98,1.58,17.47,0.78,14.09,3620.04,5.02
2020-03-12 12:00:00,3825.68,1.04,17.23,1.05,14.21,3787.11,5.05
2020-03-12 13:00:00,3572.44,1.1,15.87,1.03,13.56,3536.16,4.73
2020-03-12 14:00:00,2875.35,1.51,15.86,1.01,13.48,2839.46,4.04
2020-03-12 15:00:00,1772.81,2.16,15.86,1.59,14.13,1735.7,3.37
2020-03-12 16:00:00,638.76,2.07,15.86,1.89,15.11,602.35,1.48
2020-03-12 17:00:00,85.32,2.24,15.86,1.94,14.79,49.6,0.89
2020-03-12 18:00:00,37.45,2.4,15.7,1.98,14.36,2.65,0.37
2020-03-12 19:00:00,35.58,2.55,15.48,1.72,14.93,0.44,0.45
2020-03-12 20:00:00,36.03,2.75,15.54,1.48,15.35,0.48,0.43
2020-03-12 21:00:00,37.4,3.23,15.68,1.45,15.95,0.48,0.6
2020-03-12 22:00:00,36.12,2.79,15.68,1.08,15.89,0.52,0.15
2020-03-12 23:00:00,36.78,3.3,15.65,1.11,15.53,1.11,0.08
2020-04-12 00:00:00,38.63,3.66,16.93,1.18,15.16,1.65,0.05
2020-04-12 01:00:00,38.94,3.22,16.93,1.23,15.27,2.23,0.06
2020-04-12 02:00:00,38.99,2.91,17.04,1.2,15.08,2.71,0.05
2020-04-12 03:00:00,39.26,3.43,17.07,1.17,14.65,2.89,0.05
2020-04-12 04:00:00,39.78,3.5,16.97,0.87,14.92,3.44,0.08
2020-04-12 05:00:00,41.39,3.84,17.08,0.82,14.94,4.58,0.13
2020-04-12 06:00:00,47.09,5.14,16.98,1.01,15.06,8.38,0.52
2020-04-12 07:00:00,138.72,6.1,16.93,0.96,14.71,98.99,1.04
2020-04-12 08:00:00,682.22,5.88,15.67,1.09,14.99,643.55,1.04
2020-04-12 09:00:00,1836.74,5.12,15.89,0.9,14.72,1798.13,1.99
2020-04-12 10:00:00,2926.68,4.51,16.18,0.82,14.37,2887.17,3.63
2020-04-12 11:00:00,3594.69,3.6,16.03,1.1,15.02,3554.45,4.5
2020-04-12 12:00:00,3683.27,3.94,16.11,1.82,14.76,3642.18,4.46
2020-04-12 13:00:00,3320.04,3.79,16.23,1.75,14.54,3279.77,3.95
2020-04-12 14:00:00,2621.29,3.54,16.27,2.16,13.46,2582.55,3.32
2020-04-12 15:00:00,1568.7,2.91,15.72,1.68,15.09,1530.64,2.65
2020-04-12 16:00:00,500.09,3.26,15.76,1.73,14.33,463.89,1.12
2020-04-12 17:00:00,61.2,4.13,15.93,1.82,14.57,23.95,0.8
2020-04-12 18:00:00,37.63,4.07,15.96,1.59,14.68,1.07,0.26
2020-04-12 19:00:00,36.16,4.26,15.39,1.52,14.36,0.44,0.18
2020-04-12 20:00:00,37.6,4.63,15.24,1.78,15.28,0.46,0.21
2020-04-12 21:00:00,36.52,4.02,14.15,1.95,15.56,0.46,0.38
2020-04-12 22:00:00,37.69,5.01,14.64,1.89,15.29,0.56,0.3
2020-04-12 23:00:00,37.82,4.82,14.95,1.19,15.68,1.01,0.18
2020-05-12 00:00:00,36.39,3.73,15.1,0.9,14.95,1.52,0.19
2020-05-12 01:00:00,37.41,3.3,15.06,0.96,15.84,2.16,0.1
2020-05-12 02:00:00,38.35,3.78,15.09,0.97,15.71,2.7,0.09
