Date,PTF_TRY,PTF_USD,PTF_EUR
2018-01-01 00:00:00,207.6,55.04,45.97
2018-01-01 01:00:00,205.34,54.44,45.47
2018-01-01 02:00:00,164.94,43.73,36.53
2018-01-01 03:00:00,154.52,40.97,34.22
2018-01-01 04:00:00,112.64,29.86,24.95
2018-01-01 05:00:00,105.02,27.84,23.26
2018-01-01 06:00:00,85.0,22.54,18.82
2018-01-01 07:00:00,119.89,31.79,26.55
2018-01-01 08:00:00,152.9,40.54,33.86
2018-01-01 09:00:00,193.27,51.24,42.8
2018-01-01 10:00:00,204.0,54.08,45.18
2018-01-01 11:00:00,169.99,45.07,37.65
2018-01-01 12:00:00,145.0,38.44,32.11
2018-01-01 13:00:00,169.99,45.07,37.65
2018-01-01 14:00:00,169.99,45.07,37.65
2018-01-01 15:00:00,169.99,45.07,37.65
2018-01-01 16:00:00,184.94,49.03,40.96
2018-01-01 17:00:00,160.0,42.42,35.43
2018-01-01 18:00:00,200.0,53.02,44.29
2018-01-01 19:00:00,203.99,54.08,45.18
2018-01-01 20:00:00,185.36,49.14,41.05
2018-01-01 21:00:00,145.0,38.44,32.11
2018-01-01 22:00:00,143.0,37.91,31.67
2018-01-01 23:00:00,112.63,29.86,24.94
2018-02-01 00:00:00,197.0,52.23,43.63
2018-02-01 01:00:00,174.94,46.38,38.74
2018-02-01 02:00:00,109.01,28.9,24.14
2018-02-01 03:00:00,159.99,42.42,35.43
2018-02-01 04:00:00,155.0,41.09,34.33
2018-02-01 05:00:00,174.94,46.38,38.74
2018-02-01 06:00:00,182.49,48.38,40.41
2018-02-01 07:00:00,182.48,48.38,40.41
2018-02-01 08:00:00,151.95,40.28,33.65
2018-02-01 09:00:00,205.78,54.56,45.57
2018-02-01 10:00:00,205.6,54.51,45.53
2018-02-01 11:00:00,202.82,53.77,44.92
2018-02-01 12:00:00,160.0,42.42,35.43
2018-02-01 13:00:00,183.0,48.52,40.53
2018-02-01 14:00:00,182.99,48.51,40.52
2018-02-01 15:00:00,159.99,42.42,35.43
2018-02-01 16:00:00,194.94,51.68,43.17
2018-02-01 17:00:00,183.0,48.52,40.53
2018-02-01 18:00:00,205.03,54.36,45.41
2018-02-01 19:00:00,182.05,48.26,40.32
2018-02-01 20:00:00,141.0,37.38,31.23
2018-02-01 21:00:00,182.99,48.51,40.52
2018-02-01 22:00:00,174.12,46.16,38.56
2018-02-01 23:00:00,169.91,45.05,37.63
2018-03-01 00:00:00,195.01,51.79,42.98
2018-03-01 01:00:00,179.13,47.58,39.48
2018-03-01 02:00:00,141.66,37.62,31.22
2018-03-01 03:00:00,130.0,34.53,28.65
2018-03-01 04:00:00,129.99,34.52,28.65
2018-03-01 05:00:00,160.0,42.49,35.26
2018-03-01 06:00:00,155.19,41.22,34.2
2018-03-01 07:00:00,179.12,47.57,39.48
2018-03-01 08:00:00,196.94,52.31,43.4
2018-03-01 09:00:00,200.06,53.13,44.09
2018-03-01 10:00:00,185.0,49.13,40.77
2018-03-01 11:00:00,200.33,53.21,44.15
2018-03-01 12:00:00,142.01,37.72,31.3
2018-03-01 13:00:00,159.99,42.49,35.26
2018-03-01 14:00:00,181.99,48.33,40.11
2018-03-01 15:00:00,184.99,49.13,40.77
2018-03-01 16:00:00,190.05,50.48,41.88
2018-03-01 17:00:00,181.99,48.33,40.11
2018-03-01 18:00:00,199.9,53.09,44.06
2018-03-01 19:00:00,181.98,48.33,40.11
2018-03-01 20:00:00,181.99,48.33,40.11
2018-03-01 21:00:00,159.99,42.49,35.26
2018-03-01 22:00:00,179.12,47.57,39.48
2018-03-01 23:00:00,167.35,44.45,36.88
2018-04-01 00:00:00,179.14,47.62,39.57
2018-04-01 01:00:00,164.99,43.86,36.45
2018-04-01 02:00:00,190.02,50.51,41.98
2018-04-01 03:00:00,169.99,45.19,37.55
2018-04-01 04:00:00,134.99,35.89,29.82
2018-04-01 05:00:00,135.0,35.89,29.82
2018-04-01 06:00:00,134.99,35.89,29.82
2018-04-01 07:00:00,190.02,50.51,41.98
2018-04-01 08:00:00,179.13,47.62,39.57
2018-04-01 09:00:00,202.0,53.7,44.62
2018-04-01 10:00:00,202.99,53.96,44.84
2018-04-01 11:00:00,201.5,53.57,44.51
2018-04-01 12:00:00,179.14,47.62,39.57
2018-04-01 13:00:00,189.99,50.51,41.97
2018-04-01 14:00:00,190.02,50.51,41.98
2018-04-01 15:00:00,190.02,50.51,41.98
2018-04-01 16:00:00,190.02,50.51,41.98
2018-04-01 17:00:00,185.0,49.18,40.87
2018-04-01 18:00:00,179.14,47.62,39.57
2018-04-01 19:00:00,167.68,44.58,37.04
2018-04-01 20:00:00,200.18,53.22,44.22
2018-04-01 21:00:00,179.13,47.62,39.57
2018-04-01 22:00:00,162.94,43.32,36.0
2018-04-01 23:00:00,109.01,28.98,24.08
2018-05-01 00:00:00,190.01,50.53,41.97
2018-05-01 01:00:00,118.69,31.57,26.22
2018-05-01 02:00:00,118.69,31.57,26.22
2018-05-01 03:00:00,118.69,31.57,26.22
2018-05-01 04:00:00,118.7,31.57,26.22
2018-05-01 05:00:00,118.7,31.57,26.22
2018-05-01 06:00:00,118.7,31.57,26.22
2018-05-01 07:00:00,148.99,39.63,32.91
2018-05-01 08:00:00,190.02,50.54,41.98
2018-05-01 09:00:00,204.39,54.36,45.15
2018-05-01 10:00:00,202.99,53.99,44.84
2018-05-01 11:00:00,202.2,53.78,44.67
2018-05-01 12:00:00,171.72,45.67,37.93
2018-05-01 13:00:00,166.99,44.41,36.89
2018-05-01 14:00:00,198.12,52.69,43.77
2018-05-01 15:00:00,198.12,52.69,43.77
2018-05-01 16:00:00,200.44,53.31,44.28
2018-05-01 17:00:00,198.11,52.69,43.76
2018-05-01 18:00:00,198.12,52.69,43.77
2018-05-01 19:00:00,185.05,49.22,40.88
2018-05-01 20:00:00,179.01,47.61,39.54
2018-05-01 21:00:00,178.85,47.57,39.51
2018-05-01 22:00:00,178.84,47.56,39.51
2018-05-01 23:00:00,162.5,43.22,35.9
2018-06-01 00:00:00,173.74,46.39,38.49
2018-06-01 01:00:00,169.99,45.38,37.66
2018-06-01 02:00:00,163.88,43.75,36.3
2018-06-01 03:00:00,141.81,37.86,31.41
2018-06-01 04:00:00,135.36,36.14,29.98
2018-06-01 05:00:00,142.89,38.15,31.65
2018-06-01 06:00:00,163.89,43.76,36.3
2018-06-01 07:00:00,163.99,43.78,36.33
2018-06-01 08:00:00,158.58,42.34,35.13
2018-06-01 09:00:00,174.98,46.72,38.76
2018-06-01 10:00:00,185.06,49.41,40.99
2018-06-01 11:00:00,199.99,53.39,44.3
2018-06-01 12:00:00,185.05,49.4,40.99
2018-06-01 13:00:00,183.55,49.0,40.66
2018-06-01 14:00:00,198.11,52.89,43.88
2018-06-01 15:00:00,195.05,52.07,43.21
