"Tarih","Saat","Toplam (MWh)","Rüzgar (MWh)","Biyogaz (MWh)","Kanal Tipi (MWh)","Biyokütle (MWh)","Güneþ (MWh)","Diðer (MWh)"
"01.06.2020","00:00","40,80","3,46","16,53","4,29","15,17","0,47","0,90"
"01.06.2020","01:00","39,86","3,11","15,42","4,43","15,28","0,73","0,90"
"01.06.2020","02:00","39,35","2,43","15,43","4,11","15,42","1,05","0,91"
"01.06.2020","03:00","38,39","2,55","15,26","2,92","15,45","1,31","0,90"
"01.06.2020","04:00","38,75","2,76","15,39","2,79","15,18","1,72","0,90"
"01.06.2020","05:00","74,29","1,91","15,40","2,87","15,17","37,99","0,93"
"01.06.2020","06:00","400,65","2,20","15,48","2,97","15,17","362,92","1,90"
"01.06.2020","07:00","1.294,17","2,42","15,50","2,76","15,08","1.255,99","2,42"
"01.06.2020","08:00","2.402,24","1,88","15,35","2,75","15,45","2.363,73","3,08"
"01.06.2020","09:00","3.319,23","2,05","15,58","2,68","14,58","3.280,39","3,96"
"01.06.2020","10:00","3.830,21","5,08","15,68","2,83","14,00","3.788,40","4,22"
"01.06.2020","11:00","4.028,00","6,17","15,46","1,72","14,37","3.986,10","4,18"
"01.06.2020","12:00","3.936,83","3,70","15,40","2,25","14,78","3.897,18","3,51"
"01.06.2020","13:00","3.714,32","3,64","15,59","3,58","14,26","3.674,15","3,10"
"01.06.2020","14:00","3.319,95","1,73","15,18","2,91","14,42","3.282,57","3,14"
"01.06.2020","15:00","2.874,59","2,73","15,60","2,89","14,66","2.835,96","2,75"
"01.06.2020","16:00","2.171,30","2,74","15,49","4,27","15,08","2.131,31","2,42"
"01.06.2020","17:00","1.258,90","4,11","15,93","4,49","15,70","1.216,94","1,74"
"01.06.2020","18:00","551,72","4,50","16,64","4,43","15,73","508,88","1,54"
"01.06.2020","19:00","146,20","4,12","16,15","4,43","15,92","104,63","0,96"
"01.06.2020","20:00","43,44","3,38","16,97","4,37","15,69","2,02","1,00"
