"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"01/01/2019","00:00","100,38","19,01","16,61"
"01/01/2019","01:00","96,72","18,31","16,01"
"01/01/2019","02:00","81,60","15,45","13,51"
"01/01/2019","03:00","38,58","7,31","6,39"
"01/01/2019","04:00","11,52","2,18","1,91"
"01/01/2019","05:00","11,14","2,11","1,84"
"01/01/2019","06:00","11,14","2,11","1,84"
"01/01/2019","07:00","24,37","4,61","4,03"
"01/01/2019","08:00","34,50","6,53","5,71"
"01/01/2019","09:00","45,21","8,56","7,48"
"01/01/2019","10:00","71,54","13,55","11,84"
"01/01/2019","11:00","100,31","18,99","16,60"
"01/01/2019","12:00","102,94","19,49","17,04"
"01/01/2019","13:00","100,36","19,00","16,61"
"01/01/2019","14:00","104,73","19,83","17,33"
"01/01/2019","15:00","103,91","19,68","17,20"
"01/01/2019","16:00","117,70","22,29","19,48"
"01/01/2019","17:00","286,93","54,33","47,49"
"01/01/2019","18:00","291,52","55,20","48,25"
"01/01/2019","19:00","289,14","54,75","47,85"
"01/01/2019","20:00","287,76","54,49","47,63"
"01/01/2019","21:00","285,18","54,00","47,20"
"01/01/2019","22:00","204,89","38,80","33,91"
"01/01/2019","23:00","102,48","19,41","16,96"
"02/01/2019","00:00","104,69","19,82","17,33"
"02/01/2019","01:00","88,25","16,71","14,61"
"02/01/2019","02:00","83,20","15,75","13,77"
"02/01/2019","03:00","43,89","8,31","7,26"
"02/01/2019","04:00","32,65","6,18","5,40"
"02/01/2019","05:00","55,56","10,52","9,20"
"02/01/2019","06:00","126,34","23,92","20,91"
"02/01/2019","07:00","287,66","54,47","47,61"
"02/01/2019","08:00","290,28","54,97","48,04"
"02/01/2019","09:00","296,99","56,24","49,15"
"02/01/2019","10:00","296,86","56,21","49,13"
"02/01/2019","11:00","299,50","56,71","49,57"
"02/01/2019","12:00","294,73","55,81","48,78"
"02/01/2019","13:00","294,48","55,76","48,74"
"02/01/2019","14:00","295,46","55,95","48,90"
"02/01/2019","15:00","294,44","55,75","48,73"
"02/01/2019","16:00","295,84","56,02","48,96"
"02/01/2019","17:00","299,52","56,72","49,57"
"02/01/2019","18:00","298,17","56,46","49,35"
"02/01/2019","19:00","293,16","55,51","48,52"
"02/01/2019","20:00","290,48","55,00","48,08"
"02/01/2019","21:00","288,54","54,64","47,75"
"02/01/2019","22:00","285,65","54,09","47,28"
"02/01/2019","23:00","253,88","48,07","42,02"
"03/01/2019","00:00","126,33","23,69","20,69"
"03/01/2019","01:00","250,00","46,89","40,94"
"03/01/2019","02:00","205,00","38,45","33,57"
"03/01/2019","03:00","150,00","28,13","24,57"
"03/01/2019","04:00","110,01","20,63","18,02"
"03/01/2019","05:00","179,72","33,71","29,43"
"03/01/2019","06:00","219,99","41,26","36,03"
"03/01/2019","07:00","285,27","53,51","46,72"
"03/01/2019","08:00","286,48","53,73","46,92"
"03/01/2019","09:00","291,11","54,60","47,68"
"03/01/2019","10:00","292,83","54,92","47,96"
"03/01/2019","11:00","293,34","55,02","48,04"
"03/01/2019","12:00","287,35","53,90","47,06"
"03/01/2019","13:00","286,17","53,67","46,87"
"03/01/2019","14:00","286,35","53,71","46,90"
"03/01/2019","15:00","284,64","53,39","46,62"
"03/01/2019","16:00","286,47","53,73","46,92"
"03/01/2019","17:00","290,19","54,43","47,52"
"03/01/2019","18:00","287,76","53,97","47,13"
"03/01/2019","19:00","237,50","44,55","38,90"
"03/01/2019","20:00","179,71","33,71","29,43"
